
2023/09/07 (15:03:19) | ===> btop++ v.1.2.13
2023/09/07 (15:03:19) | ERROR: Failed to get size of terminal!

2023/09/07 (15:13:20) | ===> btop++ v.1.2.13
2023/09/07 (15:13:20) | ERROR: Failed to get size of terminal!

2023/09/08 (13:35:36) | ===> btop++ v.1.2.13
2023/09/08 (13:35:36) | ERROR: Failed to get size of terminal!

2023/09/10 (19:21:03) | ===> btop++ v.1.2.13
2023/09/10 (19:21:03) | ERROR: Failed to get size of terminal!

2023/09/11 (07:45:45) | ===> btop++ v.1.2.13
2023/09/11 (07:45:45) | ERROR: Failed to get size of terminal!

2023/09/11 (13:32:23) | ===> btop++ v.1.2.13
2023/09/11 (13:32:23) | ERROR: Failed to get size of terminal!

2023/09/11 (13:34:34) | ===> btop++ v.1.2.13
2023/09/11 (13:34:34) | ERROR: Failed to get size of terminal!

2023/09/11 (13:35:33) | ===> btop++ v.1.2.13
2023/09/11 (13:35:33) | ERROR: Failed to get size of terminal!

2023/09/11 (13:36:53) | ===> btop++ v.1.2.13
2023/09/11 (13:36:53) | ERROR: Failed to get size of terminal!

2023/09/11 (21:07:33) | ===> btop++ v.1.2.13
2023/09/11 (21:07:33) | ERROR: Failed to get size of terminal!

2023/09/11 (21:40:18) | ===> btop++ v.1.2.13
2023/09/11 (21:40:18) | ERROR: Failed to get size of terminal!

2023/09/12 (10:00:49) | ===> btop++ v.1.2.13
2023/09/12 (10:00:49) | ERROR: Failed to get size of terminal!

2023/09/14 (07:47:06) | ===> btop++ v.1.2.13
2023/09/14 (07:47:06) | ERROR: Failed to get size of terminal!

2023/09/14 (07:48:13) | ===> btop++ v.1.2.13
2023/09/14 (07:48:13) | ERROR: Failed to get size of terminal!

2023/09/14 (09:25:02) | ===> btop++ v.1.2.13
2023/09/14 (09:25:02) | ERROR: Failed to get size of terminal!

2023/09/16 (08:15:02) | ===> btop++ v.1.2.13
2023/09/16 (08:15:02) | ERROR: Failed to get size of terminal!

2023/09/18 (07:57:05) | ===> btop++ v.1.2.13
2023/09/18 (07:57:05) | ERROR: Failed to get size of terminal!

2023/09/18 (09:25:10) | ===> btop++ v.1.2.13
2023/09/18 (09:25:10) | ERROR: Failed to get size of terminal!

2023/09/18 (13:26:40) | ===> btop++ v.1.2.13
2023/09/18 (13:26:40) | ERROR: Failed to get size of terminal!

2023/09/18 (13:27:22) | ===> btop++ v.1.2.13
2023/09/18 (13:27:22) | ERROR: Failed to get size of terminal!

2023/09/18 (20:55:58) | ===> btop++ v.1.2.13
2023/09/18 (20:55:58) | ERROR: Failed to get size of terminal!

2023/09/19 (09:58:27) | ===> btop++ v.1.2.13
2023/09/19 (09:58:27) | ERROR: Failed to get size of terminal!

